SalesOrderID,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal
43659,1,4911-403C-98,1,776,1,2024.994,0,2024.994
43659,2,4911-403C-98,3,777,1,2024.994,0,6074.982
43659,3,4911-403C-98,1,778,1,2024.994,0,2024.994
43659,4,4911-403C-98,1,771,1,2039.994,0,2039.994
43659,5,4911-403C-98,1,772,1,2039.994,0,2039.994
43659,6,4911-403C-98,2,773,1,2039.994,0,4079.988
43659,7,4911-403C-98,1,774,1,2039.994,0,2039.994
43659,8,4911-403C-98,3,714,1,28.8404,0,86.5212
43659,9,4911-403C-98,1,716,1,28.8404,0,28.8404
43659,10,4911-403C-98,6,709,1,5.7,0,34.2
43659,11,4911-403C-98,2,712,1,5.1865,0,10.373
43659,12,4911-403C-98,4,711,1,20.1865,0,80.746
43660,13,6431-4D57-83,1,762,1,419.4589,0,419.4589
43660,14,6431-4D57-83,1,758,1,874.794,0,874.794
43661,15,4E0A-4F89-AE,1,745,1,809.76,0,809.76
43661,16,4E0A-4F89-AE,1,743,1,714.7043,0,714.7043
43661,17,4E0A-4F89-AE,2,747,1,714.7043,0,1429.4086
43661,18,4E0A-4F89-AE,4,712,1,5.1865,0,20.746
43661,19,4E0A-4F89-AE,4,715,1,28.8404,0,115.3616
43661,20,4E0A-4F89-AE,2,742,1,722.5949,0,1445.1898
43661,21,4E0A-4F89-AE,3,775,1,2024.994,0,6074.982
43661,22,4E0A-4F89-AE,2,778,1,2024.994,0,4049.988
43661,23,4E0A-4F89-AE,2,711,1,20.1865,0,40.373
43661,24,4E0A-4F89-AE,2,741,1,818.7,0,1637.4
43661,25,4E0A-4F89-AE,4,776,1,2024.994,0,8099.976
43661,26,4E0A-4F89-AE,2,773,1,2039.994,0,4079.988
43661,27,4E0A-4F89-AE,2,716,1,28.8404,0,57.6808
43661,28,4E0A-4F89-AE,2,777,1,2024.994,0,4049.988
43661,29,4E0A-4F89-AE,5,708,1,20.1865,0,100.9325
43662,30,2E53-4802-85,3,764,1,419.4589,0,1258.3767
43662,31,2E53-4802-85,5,770,1,419.4589,0,2097.2945
43662,32,2E53-4802-85,2,730,1,183.9382,0,367.8764
43662,33,2E53-4802-85,4,754,1,874.794,0,3499.176
43662,34,2E53-4802-85,3,725,1,183.9382,0,551.8146
43662,35,2E53-4802-85,5,762,1,419.4589,0,2097.2945
43662,36,2E53-4802-85,3,765,1,419.4589,0,1258.3767
43662,37,2E53-4802-85,2,768,1,419.4589,0,838.9178
43662,38,2E53-4802-85,1,753,1,2146.962,0,2146.962
43662,39,2E53-4802-85,1,756,1,874.794,0,874.794
43662,40,2E53-4802-85,3,763,1,419.4589,0,1258.3767
43662,41,2E53-4802-85,1,732,1,356.898,0,356.898
43662,42,2E53-4802-85,6,758,1,874.794,0,5248.764
43662,43,2E53-4802-85,1,729,1,183.9382,0,183.9382
43662,44,2E53-4802-85,3,722,1,178.5808,0,535.7424
43662,45,2E53-4802-85,1,749,1,2146.962,0,2146.962
43662,46,2E53-4802-85,3,760,1,419.4589,0,1258.3767
43662,47,2E53-4802-85,1,726,1,183.9382,0,183.9382
43662,48,2E53-4802-85,1,733,1,356.898,0,356.898
43662,49,2E53-4802-85,1,738,1,178.5808,0,178.5808
43662,50,2E53-4802-85,3,766,1,419.4589,0,1258.3767
43662,51,2E53-4802-85,1,755,1,874.794,0,874.794
43663,52,1E90-4FBF-B6,1,760,1,419.4589,0,419.4589
